EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	TREATMENT_ACCESSION
ES834732	EXP13921	TRT1783
ES834750	EXP13921	TRT1783
ES834755	EXP13921	TRT1783
ES850908	EXP13950	TRT1834
ES850909	EXP13950	TRT1834
ES850913	EXP13950	TRT1834
ES850929	EXP13950	TRT1834
ES850931	EXP13950	TRT1834
ES850936	EXP13950	TRT1834
ES850937	EXP13950	TRT1834
ES850962	EXP13950	TRT1834
ES851003	EXP13950	TRT1834
ES851004	EXP13950	TRT1834
ES851005	EXP13950	TRT1834
ES851024	EXP13950	TRT1834
ES851027	EXP13950	TRT1834
ES851032	EXP13950	TRT1834
ES851042	EXP13950	TRT1834
ES851050	EXP13950	TRT1834
ES851075	EXP13950	TRT1834
ES851091	EXP13950	TRT1834
ES851092	EXP13950	TRT1834
ES851124	EXP13950	TRT1834
ES851125	EXP13950	TRT1834
ES851138	EXP13950	TRT1834
ES851141	EXP13950	TRT1834
ES851143	EXP13950	TRT1834
ES851149	EXP13950	TRT1834
ES851160	EXP13950	TRT1834
ES851165	EXP13950	TRT1834
ES851166	EXP13950	TRT1834
ES851186	EXP13950	TRT1834
ES851190	EXP13950	TRT1834
ES851193	EXP13950	TRT1834
ES851196	EXP13950	TRT1834
ES851204	EXP13950	TRT1834
ES851221	EXP13950	TRT1834
ES851224	EXP13950	TRT1834
ES851226	EXP13950	TRT1834
ES851253	EXP13950	TRT1834
ES851262	EXP13950	TRT1834
ES851273	EXP13950	TRT1834
ES851279	EXP13950	TRT1834
ES851305	EXP13950	TRT1834
ES851307	EXP13950	TRT1834
ES851320	EXP13950	TRT1834
ES851322	EXP13950	TRT1834
ES851328	EXP13950	TRT1834
ES851329	EXP13950	TRT1834
ES833744	EXP13915	TRT1785
ES833745	EXP13915	TRT1785
ES833749	EXP13915	TRT1785
ES833763	EXP13915	TRT1785
ES833770	EXP13915	TRT1785
ES833771	EXP13915	TRT1785
ES833772	EXP13915	TRT1785
ES833774	EXP13915	TRT1785
ES833781	EXP13915	TRT1785
ES833787	EXP13915	TRT1785
ES833793	EXP13915	TRT1785
ES833796	EXP13915	TRT1785
ES833803	EXP13915	TRT1785
