FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
1094830	CD14+	CD14+	ANA804	548250
1094842	CD14+	CD14+	ANA804	548253
1094854	CD14+	CD14+	ANA804	548257
1094857	B7-2+	CD86+	ANA868	548257
1094882	CD14+	CD14+	ANA804	548264
1094883	HLADR+	HLA-DR+	ANA812	548264
1094891	CD3+	CD3+	ANA809	548270
1094895	CD8-	CD8-	ANA810	548271
1094903	CXCR5+	CXCR5+	ANA78	548273
1094905	CD3+	CD3+	ANA809	548274
1094910	CD278+	ICOS+	ANA898	548274
1094920	CD8-	CD8-	ANA810	548276
1094921	CXCR5+	CXCR5+	ANA78	548276
1094922	CD45RA-	CD45RA-	ANA816	548276
1094936	CXCR5+	CXCR5+	ANA78	548278
1094957	CD4+	CD4+	ANA41	548281
1094977	CD4+	CD4+	ANA41	548284
1094980	CD45RA-	CD45RA-	ANA816	548284
1094998	CD4+	CD4+	ANA41	548287
1095011	CD278+	ICOS+	ANA898	548288
1095014	CD8-	CD8-	ANA810	548289
1095018	CCR6+	CCR6+	ANA36	548289
1095024	CXCR3-	CXCR3-	ANA76	548290
1095027	CD3+	CD3+	ANA809	548291
1095031	CD45RA-	CD45RA-	ANA816	548291
1095032	CXCR3-	CXCR3-	ANA76	548291
1095045	CD3+	CD3+	ANA809	548294
1095047	CD8+	CD8+	ANA810	548294
1095049	CD3+	CD3+	ANA809	548295
1095053	CD3+	CD3+	ANA809	548296
1095060	CD278+	ICOS+	ANA898	548297
1095082	B7-2+	CD86+	ANA868	548302
1095083	CD19+	CD19+	ANA805	548303
1095085	CD14-	CD14-	ANA804	548303
1095090	CD14-	CD14-	ANA804	548304
1095095	CD3-	CD3-	ANA809	548305
1095098	CD24+	CD24+	ANA807	548305
1095099	CD19+	CD19+	ANA805	548306
1095122	CD14-	CD14-	ANA804	548310
1095126	CD3-	CD3-	ANA809	548311
1095138	B7-2+	CD86+	ANA868	548313
1095145	CD19+	CD19+	ANA805	548315
1095151	CD19+	CD19+	ANA805	548316
1095156	B7-2+	CD86+	ANA868	548316
1095158	CD3-	CD3-	ANA809	548317
1095175	CD2-	CD2-	ANA860	548320
1095182	HLADR+	HLA-DR+	ANA812	548322
1095183	BDCA2, CD303+	BDCA2+	ANA870	548322
1095184	CD11c-	CD11c-	ANA814	548322
1095189	CD11c-	CD11c-	ANA814	548323
1095196	HLADR+	HLA-DR+	ANA812	548325
1095198	CD11c+	CD11c+	ANA814	548325
1095210		Lin1-		548328
1095232	BDCA3-	BDCA3-	ANA894	548331
