EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES1004793	ESR15673
ES1004796	ESR15680
ES1004796	ESR15679
ES1004797	ESR15678
ES1004798	ESR15699
ES1004799	ESR15684
ES1004800	ESR15728
ES1004800	ESR15683
ES1004801	ESR15673
ES1004802	ESR15702
ES1004804	ESR15693
ES1004804	ESR15673
ES1004805	ESR15705
ES1004805	ESR15703
ES1004806	ESR15725
ES1004806	ESR15724
ES1004807	ESR15721
ES1004809	ESR15680
ES1004810	ESR15682
ES1004810	ESR15678
ES1004811	ESR15693
ES1004811	ESR15690
ES1004811	ESR15680
ES1004814	ESR15729
ES1004814	ESR15692
ES1004815	ESR15721
ES1004817	ESR15725
ES1004819	ESR15731
ES1004819	ESR15703
ES1004820	ESR16851
ES1004822	ESR15677
ES1004822	ESR15672
ES1004823	ESR15718
ES1004824	ESR15711
ES1004825	ESR16851
ES1004825	ESR15678
ES1004826	ESR15684
ES1004826	ESR15682
ES1004827	ESR15711
ES1004827	ESR15679
ES1004827	ESR15673
ES1004828	ESR15674
ES1004828	ESR15672
ES1004830	ESR15684
ES1004831	ESR15685
ES1004833	ESR15723
ES1004835	ESR15679
ES1004836	ESR15683
ES1004837	ESR15723
ES1004837	ESR15722
ES1004839	ESR15695
ES1004840	ESR16852
ES1004840	ESR15722
ES1004840	ESR15674
ES1004841	ESR15720
ES1004841	ESR15718
ES1004842	ESR15696
ES1004842	ESR15683
ES1004843	ESR15723
ES1004844	ESR15679
ES1004844	ESR15674
ES1004846	ESR15692
ES1004846	ESR15691
ES1004846	ESR15679
ES1004848	ESR15689
ES1004849	ESR15679
ES1004850	ESR15678
ES1004851	ESR15673
ES1004853	ESR15716
ES1004853	ESR15715
ES1004853	ESR15679
ES1004853	ESR15674
ES1004856	ESR15723
ES1004856	ESR15722
ES1004856	ESR15721
ES1004857	ESR15680
ES1004857	ESR15675
ES1004857	ESR15674
ES1004858	ESR15732
ES1004858	ESR15711
ES1004859	ESR15718
ES1004860	ESR15693
ES1004860	ESR15674
ES1004861	ESR15697
ES1004861	ESR15696
ES1004861	ESR15683
ES1004863	ESR15694
ES1004863	ESR15693
ES1004864	ESR15710
ES1004865	ESR15729
ES1004865	ESR15694
ES1004865	ESR15691
ES1004865	ESR15679
ES1004866	ESR15720
ES1004866	ESR15678
ES1004867	ESR15672
ES1004868	ESR15727
ES1004871	ESR15682
ES1004872	ESR15673
ES1004873	ESR15725
ES1004874	ESR15719
ES1004874	ESR15674
ES1004874	ESR15673
ES1004876	ESR15673
ES1004878	ESR15678
ES1004878	ESR15674
ES1004880	ESR15674
ES1004881	ESR15714
ES1004883	ESR15734
ES1004883	ESR15679
ES1004884	ESR15735
ES1004885	ESR15680
ES1004885	ESR15674
ES1004886	ESR15688
ES1004887	ESR15689
ES1004889	ESR15729
ES1004889	ESR15680
ES1004891	ESR15722
ES1004892	ESR15706
ES1004893	ESR15683
ES1004893	ESR15679
ES1004894	ESR15680
ES1004894	ESR15674
ES1004895	ESR15728
ES1004896	ESR15673
ES1004896	ESR15672
ES1004897	ESR16851
ES1004898	ESR15730
ES1004898	ESR15701
ES1004898	ESR15683
ES1003790	ESR15692
ES1003792	ESR15697
ES1003794	ESR15673
ES1003795	ESR15720
ES1003796	ESR15699
ES1003798	ESR15676
ES1003800	ESR15706
ES1003800	ESR15705
ES1003800	ESR15704
ES1003800	ESR15702
ES1003800	ESR15673
ES1003801	ESR15692
ES1003802	ESR15724
