STANDARD_CURVE_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
SC6846	533146	MBAA	MBAA
SC6828	533146	MBAA	MBAA
SC6827	533146	MBAA	MBAA
SC6826	533146	MBAA	MBAA
SC6822	533146	MBAA	MBAA
SC6815	533146	MBAA	MBAA
SC6808	533146	MBAA	MBAA
SC6802	533146	MBAA	MBAA
SC6799	533146	MBAA	MBAA
SC6791	533146	MBAA	MBAA
SC6789	533146	MBAA	MBAA
SC6782	533146	MBAA	MBAA
SC6769	533146	MBAA	MBAA
SC6750	533146	MBAA	MBAA
SC6748	533146	MBAA	MBAA
SC6740	533146	MBAA	MBAA
SC6737	533146	MBAA	MBAA
SC6728	533146	MBAA	MBAA
SC6718	533146	MBAA	MBAA
SC6716	533146	MBAA	MBAA
SC6706	533146	MBAA	MBAA
SC6705	533146	MBAA	MBAA
SC6704	533146	MBAA	MBAA
SC6695	533146	MBAA	MBAA
SC6687	533146	MBAA	MBAA
SC6680	533146	MBAA	MBAA
SC6670	533146	MBAA	MBAA
SC6669	533146	MBAA	MBAA
SC6665	533146	MBAA	MBAA
SC6663	533146	MBAA	MBAA
SC6659	533146	MBAA	MBAA
SC6635	533146	MBAA	MBAA
SC6632	533146	MBAA	MBAA
SC7189	533146	MBAA	MBAA
SC7187	533146	MBAA	MBAA
SC7179	533146	MBAA	MBAA
SC7164	533146	MBAA	MBAA
SC7150	533146	MBAA	MBAA
SC7141	533146	MBAA	MBAA
SC7139	533146	MBAA	MBAA
SC7135	533146	MBAA	MBAA
SC7128	533146	MBAA	MBAA
SC7124	533146	MBAA	MBAA
SC7120	533146	MBAA	MBAA
SC7110	533146	MBAA	MBAA
SC7097	533146	MBAA	MBAA
SC7093	533146	MBAA	MBAA
SC7091	533146	MBAA	MBAA
SC7061	533146	MBAA	MBAA
SC7058	533146	MBAA	MBAA
SC7048	533146	MBAA	MBAA
SC7040	533146	MBAA	MBAA
SC7037	533146	MBAA	MBAA
SC7035	533146	MBAA	MBAA
SC7025	533146	MBAA	MBAA
SC7021	533146	MBAA	MBAA
SC7005	533146	MBAA	MBAA
SC7001	533146	MBAA	MBAA
SC6967	533146	MBAA	MBAA
SC6946	533146	MBAA	MBAA
SC6945	533146	MBAA	MBAA
SC6938	533146	MBAA	MBAA
SC6913	533146	MBAA	MBAA
SC6911	533146	MBAA	MBAA
SC6882	533146	MBAA	MBAA
SC6855	533146	MBAA	MBAA
SC6839	533146	MBAA	MBAA
SC6834	533146	MBAA	MBAA
SC6823	533146	MBAA	MBAA
SC6821	533146	MBAA	MBAA
SC6814	533146	MBAA	MBAA
SC6807	533146	MBAA	MBAA
SC6806	533146	MBAA	MBAA
SC6794	533146	MBAA	MBAA
SC6781	533146	MBAA	MBAA
SC6776	533146	MBAA	MBAA
SC6775	533146	MBAA	MBAA
SC6771	533146	MBAA	MBAA
SC6762	533146	MBAA	MBAA
SC6719	533146	MBAA	MBAA
SC6714	533146	MBAA	MBAA
SC6710	533146	MBAA	MBAA
SC6709	533146	MBAA	MBAA
SC6707	533146	MBAA	MBAA
SC6700	533146	MBAA	MBAA
SC6691	533146	MBAA	MBAA
SC6685	533146	MBAA	MBAA
SC6675	533146	MBAA	MBAA
SC6674	533146	MBAA	MBAA
SC6672	533146	MBAA	MBAA
SC6657	533146	MBAA	MBAA
SC6651	533146	MBAA	MBAA
SC6650	533146	MBAA	MBAA
SC6648	533146	MBAA	MBAA
SC6640	533146	MBAA	MBAA
