STANDARD_CURVE_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ASSAY_GROUP_ID	ASSAY_ID	EXPERIMENT_ACCESSION	FORMULA	LOWER_LIMIT	LOWER_LIMIT_UNIT	RESULT_SCHEMA	UPLOAD_RESULT_STATUS	UPPER_LIMIT	UPPER_LIMIT_UNIT	WORKSPACE_ID
SC6692		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6703		part of the kit	H51-1	366	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7054		part of the kit	H51-1	362	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7072		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7078		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7083		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6730		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6830		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6844		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6859		part of the kit	H51-1	366	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6750		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6771		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7136		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7144		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7159		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7162		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6795		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
