EXPSAMPLE_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	DILUTION_FACTOR	PLATE_TYPE
ES851245	H51-1	364	1	
ES851255	H51-1	366	1	
ES851256	H51-1	366	1	
ES851282	H51-1	366	1	
ES851287	H51-1	366	1	
ES851288	H51-1	366	1	
ES851291	H51-1	366	1	
ES851298	H51-1	366	1	
ES851317	H51-1	366	1	
ES851319	H51-1	366	1	
ES851329	H51-1	366	1	
ES850723	H51-2	2777	3	
ES850737	H51-2	2777	3	
ES850742	H51-2	2777	3	
ES850745	H51-2	2777	3	
ES850747	H51-2	2782	1	
ES850749	H51-2	2777	3	
ES850759	H51-2	2777	3	
ES850760	H51-2	2777	3	
ES850761	H51-2	2777	3	
ES850775	H51-2	2778	3	
ES850797	H51-2	2777	3	
ES850798	H51-2	2777	3	
ES850806	H51-2	2777	3	
ES850810	H51-2	2777	3	
ES850812	H51-2	2777	3	
ES850831	H51-2	2778	3	
ES850834	H51-2	2778	3	
ES850835	H51-2	2778	3	
ES850851	H51-2	2778	3	
ES850853	H51-2	2778	3	
ES850859	H51-2	2780	3	
ES850868	H51-2	2778	3	
ES850873	H51-2	2780	3	
ES850876	H51-2	2780	3	
ES850879	H51-2	2780	3	
ES850906	H51-2	2778	3	
ES850910	H51-2	2780	3	
ES850921	H51-2	2779	3	
ES850925	H51-2	2779	3	
ES850931	H51-2	2779	3	
ES850932	H51-2	2779	3	
ES850939	H51-2	2780	3	
ES850948	H51-2	2779	3	
ES850954	H51-2	2779	3	
ES850963	H51-2	2779	3	
ES850976	H51-2	2779	3	
ES850995	H51-2	2779	3	
ES850996	H51-2	2779	3	
ES851000	H51-2	2779	3	
ES851030	H51-2	2781	3	
ES851039	H51-2	2782	1	
ES851054	H51-2	2781	3	
ES851055	H51-2	2781	3	
ES851058	H51-2	2781	3	
ES851070	H51-2	2781	3	
ES851073	H51-2	2781	3	
ES851088	H51-2	2781	3	
ES851090	H51-2	2781	3	
ES851096	H51-2	2781	3	
ES851098	H51-2	2781	3	
ES851105	H51-2	2780	3	
ES851109	H51-2	2780	3	
ES851129	H51-2	2780	3	
ES851136	H51-2	2780	3	
ES851146	H51-2	2780	3	
ES851177	H51-1	364	1	
ES851179	H51-1	364	1	
ES851183	H51-1	364	1	
ES851187	H51-1	364	1	
ES851189	H51-1	364	1	
ES851203	H51-1	364	1	
ES851204	H51-1	364	1	
ES851211	H51-1	364	1	
ES851214	H51-1	364	1	
ES851223	H51-1	364	1	
ES851237	H51-1	364	1	
ES851244	H51-1	364	1	
ES851249	H51-1	364	1	
ES851252	H51-1	364	1	
ES851254	H51-1	366	1	
ES851266	H51-1	366	1	
ES851267	H51-1	366	1	
ES851302	H51-1	366	1	
ES851303	H51-1	366	1	
ES851308	H51-1	366	1	
ES851310	H51-1	366	1	
ES851316	H51-1	366	1	
ES851325	H51-1	366	1	
ES851328	H51-1	366	1	
