FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
233021	7		Pacific Blue-A	PDCD1	PD1
233078	11		610/20 Violet-A	PTPRC	CD45RA
233078	21		PE-Cy5-A	ICOS	ICOS
233088	13		710/50 Violet-A	CD27	CD27
233088	1		FSC-A		FSC-A
233088	15		APC-A		HEYL
233088	6		SSC-W		SSC-W
233088	11		610/20 Violet-A	PTPRC	CD45RA
232857	24		Time		Time
232719	7		Pacific Blue-A	PDCD1	PD1
232719	22		PE-Cy5-5-A		PE-Cy5-5-A
232719	10		585/42 Violet-A	CD3E	CD3
232723	19		PE-A	CD39	CD39
232723	1		FSC-A		FSC-A
232723	14		780/60 Violet-A	CTLA4	CTLA4
232734	8		AmCyan-A	CXCR5	CXCR5
232734	16		AF 700-A	MKI67	Ki67
232734	2		FSC-H		FSC-H
232734	20		PE-TxRed-A		PPARg
232734	10		585/42 Violet-A	CD3E	CD3
232740	16		AF 700-A	MKI67	Ki67
232740	13		710/50 Violet-A	CD27	CD27
232740	1		FSC-A		FSC-A
232740	15		APC-A		HEYL
232741	24		Time		Time
232741	10		585/42 Violet-A	CD3E	CD3
232742	23		PE-Cy7-A	IL7R	CD127
232742	5		SSC-H		SSC-H
232742	17		APC-Cy7-A		CD14-16-19dead
232742	4		SSC-A		SSC-A
232746	8		AmCyan-A	CXCR5	CXCR5
232746	23		PE-Cy7-A	ICOS	ICOS
232746	12		660/40 Violet-A	CD4	CD4
232746	17		APC-Cy7-A		CD14-16-19dead
232746	20		PE-TxRed-A		PPARg
232760	19		PE-A	CD39	CD39
232760	11		610/20 Violet-A	PTPRC	CD45RA
232760	21		PE-Cy5-A	ICOS	ICOS
232781	20		PE-TxRed-A		PPARg
232792	23		PE-Cy7-A	ICOS	ICOS
232792	7		Pacific Blue-A	PDCD1	PD1
232792	16		AF 700-A	MKI67	Ki67
232792	20		PE-TxRed-A	CD28	CD28
232792	14		780/60 Violet-A	CD38	CD38
232792	6		SSC-W		SSC-W
232804	7		Pacific Blue-A	PDCD1	PD1
232804	12		660/40 Violet-A	CD4	CD4
232804	2		FSC-H		FSC-H
232804	1		FSC-A		FSC-A
232840	8		AmCyan-A	CXCR5	CXCR5
232840	23		PE-Cy7-A	ICOS	ICOS
232840	7		Pacific Blue-A	PDCD1	PD1
232855	23		PE-Cy7-A	IL7R	CD127
232855	20		PE-TxRed-A		Foxp3
232855	4		SSC-A		SSC-A
232864	9		560/40 Violet-A	CD8A	CD8
232864	16		AF 700-A	MKI67	Ki67
232864	21		PE-Cy5-A		SirT2
232892	16		AF 700-A	MKI67	Ki67
232892	1		FSC-A		FSC-A
232892	15		APC-A		Helios
232898	9		560/40 Violet-A	CD8A	CD8
232898	24		Time		Time
232898	4		SSC-A		SSC-A
232922	9		560/40 Violet-A	CD8A	CD8
232922	15		APC-A		Helios
232922	4		SSC-A		SSC-A
232931	23		PE-Cy7-A	ICOS	ICOS
232931	2		FSC-H		FSC-H
232940	23		PE-Cy7-A	IL7R	CD127
232940	5		SSC-H		SSC-H
232940	3		FSC-W		FSC-W
232940	22		PE-Cy5-5-A	CD4	CD4
232961	3		FSC-W		FSC-W
232961	22		PE-Cy5-5-A		Foxo1
232976	7		Pacific Blue-A	PDCD1	PD1
232997	8		AmCyan-A	CXCR5	CXCR5
232997	23		PE-Cy7-A	ICOS	ICOS
232997	12		660/40 Violet-A	CD4	CD4
232997	22		PE-Cy5-5-A		Foxo1
232997	2		FSC-H		FSC-H
232997	1		FSC-A		FSC-A
233004	12		660/40 Violet-A	CD4	CD4
233004	15		APC-A		HEYL
233004	21		PE-Cy5-A		STK39
233032	7		Pacific Blue-A	PDCD1	PD1
233032	12		660/40 Violet-A	CD4	CD4
233032	14		780/60 Violet-A	CD38	CD38
233032	21		PE-Cy5-A		SirT2
233038	24		Time		Time
233038	17		APC-Cy7-A		CD14-16-19dead
233038	20		PE-TxRed-A	CD28	CD28
233038	1		FSC-A		FSC-A
233041	7		Pacific Blue-A	PDCD1	PD1
233041	24		Time		Time
233041	2		FSC-H		FSC-H
233041	18		FITC-A	CD38	CD38
233041	21		PE-Cy5-A	ICOS	ICOS
233075	9		560/40 Violet-A	CD8A	CD8
233075	8		AmCyan-A	CXCR5	CXCR5
233075	13		710/50 Violet-A	CD27	CD27
233075	17		APC-Cy7-A		CD14-16-19dead
233075	22		PE-Cy5-5-A		Foxo1
233075	4		SSC-A		SSC-A
233081	17		APC-Cy7-A		CD14-16-19dead
233081	1		FSC-A		FSC-A
233092	9		560/40 Violet-A	CD8A	CD8
233092	24		Time		Time
233092	3		FSC-W		FSC-W
234690	19		Time		Time
234690	12		Qdot 605-A	PDCD1	PD-1
234690	17		PE-Cy7-A	IGHD	IgD
234690	15		Alexa Fluor 700-A		IgG
234701	12		Qdot 605-A	PDCD1	PD-1
234709	12		Qdot 605-A	PDCD1	PD-1
234731	7		FITC-A	FOXP3	FoxP3
234731	1		FSC-A		FSC-A
234744	14		Qdot 800-A	CD27	CD27
234749	19		Time		Time
234749	14		Qdot 800-A	CD27	CD27
234749	15		Alexa Fluor 700-A		IgG
234763	2		FSC-H		FSC-H
234782	7		FITC-A	FOXP3	FoxP3
234782	5		SSC-H		SSC-H
234782	3		FSC-W		FSC-W
234782	13		Qdot 655-A	CD19	CD19
232732	19		PE-A		p16
232732	5		SSC-H		SSC-H
232732	15		APC-A		p21
232744	11		610/20 Violet-A	PTPRC	CD45RA
232762	2		FSC-H		FSC-H
232762	18		FITC-A		gH2AX
232772	19		PE-A	CD39	CD39
232772	7		Pacific Blue-A	PDCD1	PD1
232772	22		PE-Cy5-5-A	CD4	CD4
232772	20		PE-TxRed-A		Foxp3
232790	9		560/40 Violet-A	CD8A	CD8
232806	5		SSC-H		SSC-H
232806	24		Time		Time
232806	13		710/50 Violet-A	CD27	CD27
232806	1		FSC-A		FSC-A
232806	15		APC-A		HEYL
232806	10		585/42 Violet-A	CD3E	CD3
232838	13		710/50 Violet-A	CD27	CD27
232838	12		660/40 Violet-A	IL2RA	CD25
232838	2		FSC-H		FSC-H
232838	10		585/42 Violet-A	CD3E	CD3
232894	7		Pacific Blue-A	PDCD1	PD1
232894	21		PE-Cy5-A		SirT2
232924	18		FITC-A		gH2AX
232939	4		SSC-A		SSC-A
232939	14		780/60 Violet-A	CTLA4	CTLA4
232939	10		585/42 Violet-A	CD3E	CD3
232999	9		560/40 Violet-A	CD8A	CD8
232999	20		PE-TxRed-A		Foxp3
233005	1		FSC-A		FSC-A
233015	13		710/50 Violet-A	CD27	CD27
233035	23		PE-Cy7-A	IL7R	CD127
233035	13		710/50 Violet-A	CD27	CD27
233035	18		FITC-A	CD38	CD38
233035	6		SSC-W		SSC-W
233035	11		610/20 Violet-A	PTPRC	CD45RA
233067	8		AmCyan-A	CXCR5	CXCR5
233067	17		APC-Cy7-A		CD14-16-19dead
234708	4		SSC-A		SSC-A
234708	2		FSC-H		FSC-H
234711	19		Time		Time
234711	5		SSC-H		SSC-H
234711	15		Alexa Fluor 700-A		IgG
234727	2		FSC-H		FSC-H
234727	10		AmCyan-A		L/D
234728	13		Qdot 655-A	CD19	CD19
234728	12		Qdot 605-A	PDCD1	PD-1
234728	18		APC-Cy7-A	IGHM	IgM
234736	13		Qdot 655-A	CD19	CD19
234736	17		PE-Cy7-A	IGHD	IgD
234736	2		FSC-H		FSC-H
234741	9		Pacific Blue-A		CD3/CD14
234741	3		FSC-W		FSC-W
234754	8		PerCP-Cy5-5-A	CD38	CD38
234754	13		Qdot 655-A	CD19	CD19
234754	17		PE-Cy7-A	IGHD	IgD
234754	6		SSC-W		SSC-W
234755	9		Pacific Blue-A		CD3/CD14
233010	20		PE-TxRed-A		PPARg
233010	10		585/42 Violet-A	CD3E	CD3
233027	11		610/20 Violet-A	PTPRC	CD45RA
233030	8		AmCyan-A	CXCR5	CXCR5
233030	3		FSC-W		FSC-W
233030	22		PE-Cy5-5-A	CD4	CD4
233030	14		780/60 Violet-A	CTLA4	CTLA4
233034	8		AmCyan-A	CXCR5	CXCR5
233034	7		Pacific Blue-A	PDCD1	PD1
233034	3		FSC-W		FSC-W
233044	23		PE-Cy7-A	ICOS	ICOS
233044	12		660/40 Violet-A	CD4	CD4
233044	22		PE-Cy5-5-A		PE-Cy5-5-A
233044	15		APC-A		p21
233048	21		PE-Cy5-A	ICOS	ICOS
233048	16		AF 700-A	MKI67	Ki67
233048	13		710/50 Violet-A	CD27	CD27
233048	22		PE-Cy5-5-A	CD4	CD4
233048	18		FITC-A	CD38	CD38
233066	19		PE-A	CD39	CD39
233066	8		AmCyan-A	CXCR5	CXCR5
233066	24		Time		Time
233066	3		FSC-W		FSC-W
233066	22		PE-Cy5-5-A	CD4	CD4
233077	24		Time		Time
234753	9		Pacific Blue-A		CD3/CD14
234753	8		PerCP-Cy5-5-A	CD38	CD38
234753	16		PE-Gr-A		ICOS ligand
234753	13		Qdot 655-A	CD19	CD19
234785	17		PE-Cy7-A	IGHD	IgD
232729	3		FSC-W		FSC-W
232729	16		AF 700-A	MKI67	Ki67
232729	6		SSC-W		SSC-W
232738	7		Pacific Blue-A	PDCD1	PD1
232738	10		585/42 Violet-A	CD3E	CD3
232743	19		PE-A		p16
232743	7		Pacific Blue-A	PDCD1	PD1
