BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION
BS752263	ES850924	EXP13950
BS752265	ES850930	EXP13950
BS752265	ES851216	EXP13950
BS752268	ES833811	EXP13915
BS752270	ES850943	EXP13950
BS752273	ES850953	EXP13950
BS752274	ES850956	EXP13950
BS752277	ES850965	EXP13950
BS752277	ES833820	EXP13915
BS752279	ES850971	EXP13950
BS752281	ES851235	EXP13950
BS752283	ES851240	EXP13950
BS752283	ES833826	EXP13915
BS752288	ES851001	EXP13950
BS752292	ES851013	EXP13950
BS752294	ES851019	EXP13950
BS752298	ES833841	EXP13915
BS752301	ES851039	EXP13950
BS752302	ES851254	EXP13950
BS752303	ES833846	EXP13915
BS752305	ES851262	EXP13950
BS752305	ES851051	EXP13950
BS752308	ES833851	EXP13915
BS752308	ES851265	EXP13950
BS752308	ES851264	EXP13950
BS752309	ES833852	EXP13915
BS752312	ES833855	EXP13915
BS752313	ES833856	EXP13915
BS752313	ES851272	EXP13950
BS752314	ES851286	EXP13950
BS752316	ES833859	EXP13915
BS752317	ES851294	EXP13950
BS752320	ES833863	EXP13915
BS752322	ES851099	EXP13950
BS752322	ES851303	EXP13950
BS752323	ES833866	EXP13915
BS752323	ES851307	EXP13950
BS752326	ES851315	EXP13950
BS752327	ES833870	EXP13915
BS752327	ES851115	EXP13950
BS752341	ES833884	EXP13915
BS752343	ES833886	EXP13915
BS752663	ES834576	EXP13921
BS752663	ES834571	EXP13921
BS752663	ES834570	EXP13921
BS752665	ES834590	EXP13921
BS752665	ES834589	EXP13921
BS752665	ES834584	EXP13921
BS752666	ES834594	EXP13921
BS752667	ES834603	EXP13921
BS752668	ES834611	EXP13921
BS752668	ES834609	EXP13921
BS752669	ES834614	EXP13921
BS752670	ES834619	EXP13921
BS752670	ES834625	EXP13921
BS752671	ES834632	EXP13921
BS752671	ES834631	EXP13921
BS752672	ES834639	EXP13921
BS752673	ES848356	EXP13922
BS752674	ES848358	EXP13922
BS752674	ES834653	EXP13921
BS752675	ES834659	EXP13921
BS752675	ES834658	EXP13921
BS752677	ES848370	EXP13922
BS752677	ES834674	EXP13921
BS752677	ES834673	EXP13921
BS752679	ES834682	EXP13921
BS752680	ES848013	EXP13922
BS752680	ES834695	EXP13921
BS752681	ES848018	EXP13922
BS752681	ES848016	EXP13922
BS752681	ES848015	EXP13922
BS752681	ES834696	EXP13921
BS752682	ES834707	EXP13921
BS752683	ES834715	EXP13921
BS752683	ES834714	EXP13921
BS752683	ES834713	EXP13921
BS752683	ES834711	EXP13921
BS752684	ES848035	EXP13922
