EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	DILUTION_FACTOR	PLATE_TYPE	WORKSPACE_ID
ES850763	EXP13950	H51-2	2777	3		2883
ES850767	EXP13950	H51-2	2777	3		2883
ES850772	EXP13950	H51-2	2778	3		2883
ES850773	EXP13950	H51-2	2778	3		2883
ES850774	EXP13950	H51-2	2778	3		2883
ES850783	EXP13950	H51-2	2777	3		2883
ES850817	EXP13950	H51-2	2777	3		2883
ES850824	EXP13950	H51-2	2780	3		2883
ES850843	EXP13950	H51-2	2778	3		2883
ES850855	EXP13950	H51-2	2778	3		2883
ES850862	EXP13950	H51-2	2780	3		2883
ES850868	EXP13950	H51-2	2778	3		2883
ES850870	EXP13950	H51-2	2778	3		2883
ES850879	EXP13950	H51-2	2780	3		2883
ES850889	EXP13950	H51-2	2778	3		2883
ES850896	EXP13950	H51-2	2778	3		2883
ES850900	EXP13950	H51-2	2778	3		2883
ES850905	EXP13950	H51-2	2778	3		2883
ES850906	EXP13950	H51-2	2778	3		2883
ES850914	EXP13950	H51-2	2779	3		2883
ES850936	EXP13950	H51-2	2779	3		2883
ES850944	EXP13950	H51-2	2779	3		2883
ES850965	EXP13950	H51-2	2779	3		2883
ES850999	EXP13950	H51-2	2779	3		2883
ES851000	EXP13950	H51-2	2779	3		2883
ES851025	EXP13950	H51-2	2781	3		2883
ES851043	EXP13950	H51-2	2781	3		2883
ES851045	EXP13950	H51-2	2781	3		2883
ES851055	EXP13950	H51-2	2781	3		2883
ES851073	EXP13950	H51-2	2781	3		2883
ES851074	EXP13950	H51-2	2781	3		2883
ES851078	EXP13950	H51-2	2781	3		2883
ES851180	EXP13950	H51-1	364	1		2883
ES851189	EXP13950	H51-1	364	1		2883
ES851197	EXP13950	H51-1	364	1		2883
ES851220	EXP13950	H51-1	364	1		2883
ES851232	EXP13950	H51-1	364	1		2883
ES851237	EXP13950	H51-1	364	1		2883
ES851241	EXP13950	H51-1	364	1		2883
ES851268	EXP13950	H51-1	366	1		2883
ES851269	EXP13950	H51-1	366	1		2883
ES851272	EXP13950	H51-1	366	1		2883
