FCS File Name,fcs_file_name,expsample_accession,study_time_collected,type,biosample_accession,name..7,file_info_id,measurement_technique
export_262_pre 7.727488.fcs,export_262_pre 7.fcs,ES1230653,-7,PBMC,BS808039,09-H1-0239 flow cytometry B2,727488,Flow Cytometry
export_263_pre 7.727489.fcs,export_263_pre 7.fcs,ES1230654,-7,PBMC,BS808042,09-H1-0239 flow cytometry B2,727489,Flow Cytometry
export_265_pre 7.727490.fcs,export_265_pre 7.fcs,ES1230655,-7,PBMC,BS808045,09-H1-0239 flow cytometry B2,727490,Flow Cytometry
export_267_pre 7.727491.fcs,export_267_pre 7.fcs,ES1230656,-7,PBMC,BS808048,09-H1-0239 flow cytometry B2,727491,Flow Cytometry
export_268_pre 7.727492.fcs,export_268_pre 7.fcs,ES1230657,-7,PBMC,BS808052,09-H1-0239 flow cytometry B2,727492,Flow Cytometry
export_272_pre 7.727493.fcs,export_272_pre 7.fcs,ES1230658,-7,PBMC,BS808057,09-H1-0239 flow cytometry B2,727493,Flow Cytometry
export_273_pre 7.727494.fcs,export_273_pre 7.fcs,ES1230659,-7,PBMC,BS808062,09-H1-0239 flow cytometry B2,727494,Flow Cytometry
export_274_pre 7.727495.fcs,export_274_pre 7.fcs,ES1230660,-7,PBMC,BS808067,09-H1-0239 flow cytometry B2,727495,Flow Cytometry
export_277_pre 7.727496.fcs,export_277_pre 7.fcs,ES1230661,-7,PBMC,BS808072,09-H1-0239 flow cytometry B2,727496,Flow Cytometry
export_279_pre 7.727497.fcs,export_279_pre 7.fcs,ES1230662,-7,PBMC,BS808075,09-H1-0239 flow cytometry B2,727497,Flow Cytometry
export_280_pre 7.727498.fcs,export_280_pre 7.fcs,ES1230663,-7,PBMC,BS808079,09-H1-0239 flow cytometry B2,727498,Flow Cytometry
export_282_pre 7.727499.fcs,export_282_pre 7.fcs,ES1230664,-7,PBMC,BS808082,09-H1-0239 flow cytometry B2,727499,Flow Cytometry
export_283_pre 7.727500.fcs,export_283_pre 7.fcs,ES1230665,-7,PBMC,BS808086,09-H1-0239 flow cytometry B2,727500,Flow Cytometry
export_284_pre 7.727501.fcs,export_284_pre 7.fcs,ES1230666,-7,PBMC,BS808091,09-H1-0239 flow cytometry B2,727501,Flow Cytometry
export_200_0.727502.fcs,export_200_0.fcs,ES1230667,0,PBMC,BS807848,09-H1-0239 flow cytometry B2,727502,Flow Cytometry
export_200_1.727503.fcs,export_200_1.fcs,ES1230668,1,PBMC,BS807849,09-H1-0239 flow cytometry B2,727503,Flow Cytometry
export_200_7.727504.fcs,export_200_7.fcs,ES1230669,7,PBMC,BS807850,09-H1-0239 flow cytometry B2,727504,Flow Cytometry
export_259_1.728621.fcs,export_259_1.fcs,ES1231681,1,PBMC,BS808024,09-H1-0239 flow cytometry T3,728621,Flow Cytometry
export_259_7.728622.fcs,export_259_7.fcs,ES1231682,7,PBMC,BS1007352,09-H1-0239 flow cytometry T3,728622,Flow Cytometry
export_259_70.728623.fcs,export_259_70.fcs,ES1231683,70,PBMC,BS1007353,09-H1-0239 flow cytometry T3,728623,Flow Cytometry
export_259_pre.728624.fcs,export_259_pre.fcs,ES1231684,-7,PBMC,BS808025,09-H1-0239 flow cytometry T3,728624,Flow Cytometry
