EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES983700	ESR16486
ES983701	ESR16493
ES983701	ESR16492
ES983701	ESR16445
ES983702	ESR16489
ES983705	ESR16498
ES983706	ESR16497
ES983706	ESR16489
ES983706	ESR16487
ES983707	ESR16487
ES983708	ESR16448
ES983709	ESR16491
ES983709	ESR16486
ES983710	ESR16488
ES983710	ESR16448
ES983711	ESR16495
ES983711	ESR16474
ES983712	ESR16503
ES983713	ESR16496
ES983713	ESR16489
ES983713	ESR16487
ES983714	ESR16494
ES983714	ESR16493
ES983714	ESR16492
ES983714	ESR16491
ES983714	ESR16487
ES983715	ESR16497
ES983715	ESR16448
ES983716	ESR16498
ES983716	ESR16445
ES983717	ESR16503
ES983717	ESR16492
ES983717	ESR16490
ES983717	ESR16489
ES983718	ESR16488
ES983718	ESR16445
ES983719	ESR16498
ES983720	ESR16448
ES983720	ESR16445
ES983721	ESR16498
ES983721	ESR16493
ES983722	ESR16495
ES983722	ESR16493
ES983723	ESR16503
ES983723	ESR16498
ES983724	ESR16503
ES983724	ESR16498
ES983724	ESR16492
ES983725	ESR16496
ES983725	ESR16487
ES983726	ESR16498
ES983726	ESR16497
ES983726	ESR16496
ES983726	ESR16493
ES983726	ESR16486
ES983727	ESR16503
ES983727	ESR16496
ES983727	ESR16489
ES983728	ESR16495
ES983728	ESR16489
ES983728	ESR16488
ES983728	ESR16474
ES983728	ESR16448
ES983729	ESR16491
ES983729	ESR16488
ES983729	ESR16487
ES983730	ESR16489
ES983731	ESR16497
ES983731	ESR16474
ES983732	ESR16493
ES983732	ESR16490
ES983733	ESR16492
ES983733	ESR16448
ES983734	ESR16498
ES983734	ESR16493
ES983734	ESR16488
ES983735	ESR16445
ES983736	ESR16494
ES983736	ESR16490
ES983736	ESR16488
ES983737	ESR16503
ES983737	ESR16491
ES983738	ESR16497
ES983738	ESR16493
ES983738	ESR16445
ES983739	ESR16496
ES983739	ESR16489
ES983741	ESR16498
ES983741	ESR16474
ES983742	ESR16493
ES983742	ESR16487
ES983742	ESR16486
ES983744	ESR16498
ES983745	ESR16491
ES983746	ESR16503
ES983746	ESR16497
ES983746	ESR16496
ES983747	ESR16497
ES983747	ESR16489
ES983747	ESR16486
ES983748	ESR16503
ES983749	ESR16503
ES983749	ESR16494
ES983750	ESR16498
ES983751	ESR16488
ES983754	ESR16496
ES983755	ESR16493
ES983755	ESR16487
ES983756	ESR16503
ES983756	ESR16495
ES983756	ESR16448
ES983759	ESR16493
ES983759	ESR16474
ES983759	ESR16448
ES983760	ESR16493
ES983760	ESR16488
ES983760	ESR16486
ES983761	ESR16494
ES983762	ESR16503
ES983762	ESR16495
ES983762	ESR16493
ES983764	ESR16503
ES983764	ESR16491
ES983764	ESR16489
ES983764	ESR16488
ES983764	ESR16474
ES983764	ESR16448
ES983765	ESR16474
ES983766	ESR16494
ES983766	ESR16488
ES983766	ESR16448
ES983768	ESR16493
ES983768	ESR16489
ES983768	ESR16487
ES983768	ESR16445
ES983769	ESR16498
ES983769	ESR16495
ES983771	ESR16498
