STANDARD_CURVE_ACCESSION	EXPERIMENT_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
SC7096	EXP13950	533146	MBAA	MBAA
SC7098	EXP13950	533146	MBAA	MBAA
SC7100	EXP13950	533146	MBAA	MBAA
SC7114	EXP13950	533146	MBAA	MBAA
SC7118	EXP13950	533146	MBAA	MBAA
SC7127	EXP13950	533146	MBAA	MBAA
SC7128	EXP13950	533146	MBAA	MBAA
SC7131	EXP13950	533146	MBAA	MBAA
SC7133	EXP13950	533146	MBAA	MBAA
SC7141	EXP13950	533146	MBAA	MBAA
SC7142	EXP13950	533146	MBAA	MBAA
SC7146	EXP13950	533146	MBAA	MBAA
SC7154	EXP13950	533146	MBAA	MBAA
SC7165	EXP13950	533146	MBAA	MBAA
SC7173	EXP13950	533146	MBAA	MBAA
SC7176	EXP13950	533146	MBAA	MBAA
SC7179	EXP13950	533146	MBAA	MBAA
SC7181	EXP13950	533146	MBAA	MBAA
SC6629	EXP13950	533146	MBAA	MBAA
SC6645	EXP13950	533146	MBAA	MBAA
SC6659	EXP13950	533146	MBAA	MBAA
SC6661	EXP13950	533146	MBAA	MBAA
SC6669	EXP13950	533146	MBAA	MBAA
SC6691	EXP13950	533146	MBAA	MBAA
SC6692	EXP13950	533146	MBAA	MBAA
SC6699	EXP13950	533146	MBAA	MBAA
SC6701	EXP13950	533146	MBAA	MBAA
SC6707	EXP13950	533146	MBAA	MBAA
SC6725	EXP13950	533146	MBAA	MBAA
SC6755	EXP13950	533146	MBAA	MBAA
SC6775	EXP13950	533146	MBAA	MBAA
SC6801	EXP13950	533146	MBAA	MBAA
SC6814	EXP13950	533146	MBAA	MBAA
SC6815	EXP13950	533146	MBAA	MBAA
SC6823	EXP13950	533146	MBAA	MBAA
SC6835	EXP13950	533146	MBAA	MBAA
SC6843	EXP13950	533146	MBAA	MBAA
SC6853	EXP13950	533146	MBAA	MBAA
SC6860	EXP13950	533146	MBAA	MBAA
SC6868	EXP13950	533146	MBAA	MBAA
SC6873	EXP13950	533146	MBAA	MBAA
SC6882	EXP13950	533146	MBAA	MBAA
SC6894	EXP13950	533146	MBAA	MBAA
SC6895	EXP13950	533146	MBAA	MBAA
SC6896	EXP13950	533146	MBAA	MBAA
SC6898	EXP13950	533146	MBAA	MBAA
