EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES786732	ESR12355
ES786733	ESR12357
ES786734	ESR12334
ES786739	ESR12337
ES786740	ESR12336
ES786741	ESR12342
ES786742	ESR12338
ES786784	ESR12333
ES786785	ESR12334
ES786786	ESR12327
ES786788	ESR12355
ES786788	ESR12342
ES788334	ESR12342
ES788336	ESR12329
ES788338	ESR12353
ES788338	ESR12352
ES788339	ESR12355
ES788340	ESR12360
ES788340	ESR12342
ES788341	ESR12341
ES788342	ESR12337
ES788343	ESR12360
ES788343	ESR12354
ES788343	ESR12352
ES788344	ESR12356
ES788344	ESR12355
ES788346	ESR12350
ES788346	ESR12344
ES788349	ESR12361
ES788349	ESR12349
ES788350	ESR12346
ES788350	ESR12344
ES788352	ESR12350
ES788352	ESR12344
ES788353	ESR12347
ES788354	ESR12339
ES788354	ESR12337
ES788355	ESR12340
ES788355	ESR12338
ES788356	ESR12340
ES788357	ESR12342
ES788357	ESR12340
ES788360	ESR12335
ES788362	ESR12331
ES788362	ESR12326
ES788363	ESR12330
ES788363	ESR12327
ES788364	ESR12329
