FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
1141535	CD11c+	CD11c+	ANA814	557632
1141538	CD2+	CD2+	ANA860	557632
1141539		Lin1-		557633
1141549	CD11c+	CD11c+	ANA814	557634
1141552	CD40-	CD40-	ANA42	557634
1141553		Lin1-		557635
1141568	CD3+	CD3+	ANA809	557638
1141574	CD8-	CD8-	ANA810	557640
1141580	CD4+	CD4+	ANA41	557642
1141581	CD8-	CD8-	ANA810	557642
1141582	CD278+	ICOS+	ANA898	557642
1141593	HLADR+	HLA-DR+	ANA812	557644
1141614	HLADR+	HLA-DR+	ANA812	557647
1141650	CD45RA-	CD45RA-	ANA816	557652
1141652	CCR6+	CCR6+	ANA36	557652
1141662	CD4+	CD4+	ANA41	557654
1141680	CD45RA-	CD45RA-	ANA816	557656
1141681	CXCR3-	CXCR3-	ANA76	557656
1141696	CD45RA-	CD45RA-	ANA816	557658
1141699	CD8-	CD8-	ANA810	557659
1141703	CD3+	CD3+	ANA809	557660
1141707	CD45RA-	CD45RA-	ANA816	557660
1141713	CD45RA-	CD45RA-	ANA816	557661
1141722	CCR6-	CCR6-	ANA36	557662
1141730	CCR6-	CCR6-	ANA36	557663
1141738	CCR6+	CCR6+	ANA36	557664
1141740	CD4+	CD4+	ANA41	557665
1141741	CD8-	CD8-	ANA810	557665
1141742	CXCR5-	CXCR5-	ANA78	557665
1141748	CD4+	CD4+	ANA41	557666
1141752	CXCR3+	CXCR3+	ANA76	557666
1141759	CD45RA-	CD45RA-	ANA816	557667
1141768	CCR6+	CCR6+	ANA36	557668
1141769	HLADR+	HLA-DR+	ANA812	557668
1141777	CD278+	ICOS+	ANA898	557669
1141784	CCR6-	CCR6-	ANA36	557670
1141788	CXCR5-	CXCR5-	ANA78	557671
1141790	CXCR3-	CXCR3-	ANA76	557671
1141796	CXCR5-	CXCR5-	ANA78	557672
1141801	CD3+	CD3+	ANA809	557673
1141804	CD3+	CD3+	ANA809	557674
1141805	CD4-	CD4-	ANA41	557674
1141812	CD3+	CD3+	ANA809	557676
1141815	CXCR5+	CXCR5+	ANA78	557676
1141828	CD40+	CD40+	ANA42	557680
1141844	CCRL1+	CX3CR1+	ANA59	557685
1141850	HLADR+	HLA-DR+	ANA812	557687
1141860	CD11b+	CD11b+	ANA878	557689
1141865	CD14+	CD14+	ANA804	557691
1141867	CD16+	CD16+	ANA811	557691
1141876	CD14+	CD14+	ANA804	557694
1141886	HLADR+	HLA-DR+	ANA812	557697
1141894	HLADR+	HLA-DR+	ANA812	557699
1141906	HLADR+	HLA-DR+	ANA812	557702
